0.1 s, 0.9328613350515464 m, 9.328613350515464 m/s, 93.28613350515464 m/s^2, 0.0582 kg
0.2 s, 4.227619368757461 m, 32.94758033705914 m/s, 236.18966986543666 m/s^2, 0.0572136 kg
0.3 s, 8.29950887445213 m, 40.718895056946685 m/s, 77.71314719887546 m/s^2, 0.054897204000000005 kg
0.4 s, 13.094695304681885 m, 47.95186430229754 m/s, 72.32969245350847 m/s^2, 0.054075204 kg
0.5 s, 18.57725768450256 m, 54.82562379820675 m/s, 68.73759495909212 m/s^2, 0.053295948 kg
0.6 s, 24.71526350696663 m, 61.380058224640685 m/s, 65.54434426433936 m/s^2, 0.052539708000000004 kg
0.7 s, 31.47370080483276 m, 67.58437297866132 m/s, 62.04314754020632 m/s^2, 0.051799908000000006 kg
0.8 s, 38.814967460999924 m, 73.41266656167161 m/s, 58.28293583010292 m/s^2, 0.051076548000000006 kg
0.9 s, 46.71925139075373 m, 79.04283929753811 m/s, 56.301727358664955 m/s^2, 0.05036962800000001 kg
1.0 s, 55.16485063734579 m, 84.45599246592063 m/s, 54.13153168382525 m/s^2, 0.04966270800000001 kg
1.1 s, 64.12845498329094 m, 89.63604345945146 m/s, 51.80050993530831 m/s^2, 0.04895578800000001 kg
1.2 s, 73.58544580726922 m, 94.56990823978286 m/s, 49.33864780331407 m/s^2, 0.04824886800000001 kg
1.3 s, 83.51020574077336 m, 99.24759933504131 m/s, 46.776910952584494 m/s^2, 0.04754194800000001 kg
1.4 s, 93.8764297513004 m, 103.66224010527054 m/s, 44.14640770229223 m/s^2, 0.04683502800000001 kg
1.5 s, 104.65742973804075 m, 107.80999986740339 m/s, 41.47759762132846 m/s^2, 0.04612810800000001 kg
1.6 s, 115.82642551610596 m, 111.68995778065216 m/s, 38.79957913248772 m/s^2, 0.04542118800000001 kg
1.7 s, 127.35681611146956 m, 115.30390595363605 m/s, 36.13948172983879 m/s^2, 0.04471426800000001 kg
1.8 s, 139.2224265052921 m, 118.65610393822556 m/s, 33.52197984589506 m/s^2, 0.04400734800000001 kg
